id, region_id, county_id,community_id,name
1, 02, 01, 01, Bolesławiec 
2, 02, 01, 04, Nowogrodziec 
3, 02, 02, 01, Bielawa 
4, 02, 02, 02, Dzierżoniów 
5, 02, 02, 03, Pieszyce 
6, 02, 02, 04, Piława Górna 
7, 02, 02, 07, Niemcza 
8, 02, 03, 01, Głogów 
9, 02, 04, 01, Góra 
10, 02, 04, 04, Wąsosz 
11, 02, 05, 01, Jawor 
12, 02, 05, 02, Bolków 
13, 02, 06, 01, Karpacz 
14, 02, 06, 02, Kowary 
15, 02, 06, 03, Piechowice 
16, 02, 06, 04, Szklarska Poręba 
17, 02, 07, 01, Kamienna Góra 
18, 02, 07, 03, Lubawka 
19, 02, 08, 01, Duszniki-Zdrój 
20, 02, 08, 02, Kłodzko 
21, 02, 08, 03, Kudowa-Zdrój 
22, 02, 08, 04, Nowa Ruda 
23, 02, 08, 05, Polanica-Zdrój 
24, 02, 08, 06, Bystrzyca Kłodzka 
25, 02, 08, 08, Lądek-Zdrój 
26, 02, 08, 10, Międzylesie 
27, 02, 08, 12, Radków 
28, 02, 08, 13, Stronie Śląskie 
29, 02, 08, 14, Szczytna 
30, 02, 09, 01, Chojnów 
31, 02, 09, 07, Prochowice 
32, 02, 10, 01, Lubań 
33, 02, 10, 02, Świeradów-Zdrój 
34, 02, 10, 03, Leśna 
35, 02, 10, 05, Olszyna 
36, 02, 11, 01, Lubin 
37, 02, 11, 04, Ścinawa 
38, 02, 12, 01, Gryfów Śląski 
39, 02, 12, 02, Lubomierz 
40, 02, 12, 03, Lwówek Śląski 
41, 02, 12, 04, Mirsk 
42, 02, 12, 05, Wleń 
43, 02, 13, 03, Milicz 
44, 02, 14, 01, Oleśnica 
45, 02, 14, 02, Bierutów 
46, 02, 14, 05, Międzybórz 
47, 02, 14, 07, Syców 
48, 02, 14, 08, Twardogóra 
49, 02, 15, 01, Oława 
50, 02, 15, 03, Jelcz-Laskowice 
51, 02, 16, 01, Chocianów 
52, 02, 16, 04, Polkowice 
53, 02, 16, 05, Przemków 
54, 02, 17, 04, Strzelin 
55, 02, 17, 05, Wiązów 
56, 02, 18, 04, Środa Śląska 
57, 02, 19, 01, Świdnica 
58, 02, 19, 02, Świebodzice 
59, 02, 19, 04, Jaworzyna Śląska 
60, 02, 19, 06, Strzegom 
61, 02, 19, 08, Żarów 
62, 02, 20, 01, Oborniki Śląskie 
63, 02, 20, 02, Prusice 
64, 02, 20, 03, Trzebnica 
65, 02, 20, 06, Żmigród 
66, 02, 21, 01, Boguszów-Gorce 
67, 02, 21, 02, Jedlina-Zdrój 
68, 02, 21, 03, Szczawno-Zdrój 
69, 02, 21, 05, Głuszyca 
70, 02, 21, 06, Mieroszów 
71, 02, 21, 09, Wałbrzych 
72, 02, 22, 01, Brzeg Dolny 
73, 02, 22, 03, Wołów 
74, 02, 23, 04, Kąty Wrocławskie 
75, 02, 23, 07, Sobótka 
76, 02, 23, 08, Siechnice 
77, 02, 24, 01, Bardo 
78, 02, 24, 05, Ząbkowice Śląskie 
79, 02, 24, 06, Ziębice 
80, 02, 24, 07, Złoty Stok 
81, 02, 25, 01, Zawidów 
82, 02, 25, 02, Zgorzelec 
83, 02, 25, 03, Bogatynia 
84, 02, 25, 04, Pieńsk 
85, 02, 25, 06, Węgliniec 
86, 02, 26, 01, Wojcieszów 
87, 02, 26, 02, Złotoryja 
88, 02, 26, 04, Świerzawa 
89, 02, 61, 01, Jelenia Góra 
90, 02, 62, 01, Legnica 
91, 02, 64, 01, Wrocław 
92, 04, 01, 01, Aleksandrów Kujawski 
93, 04, 01, 02, Ciechocinek 
94, 04, 01, 03, Nieszawa 
95, 04, 02, 01, Brodnica 
96, 04, 02, 05, Górzno 
97, 04, 02, 07, Jabłonowo Pomorskie 
98, 04, 03, 04, Koronowo 
99, 04, 03, 08, Solec Kujawski 
100, 04, 04, 01, Chełmno 
101, 04, 05, 01, Golub-Dobrzyń 
102, 04, 05, 04, Kowalewo Pomorskie 
103, 04, 06, 03, Łasin 
104, 04, 06, 04, Radzyń Chełmiński 
105, 04, 07, 01, Inowrocław 
106, 04, 07, 03, Gniewkowo 
107, 04, 07, 05, Janikowo 
